Playlist_Name,Username,Track_Title,Track_ID,Artist,Duration_ms,Popularity,Explicit,Album,Release_Date,Label,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Time_Signature
Amrzxc,fiftygame,Amazing Grace,3Im4NBWDTCNWBcsjb5w2GU,Willie Nelson,339040,18,False,The Sound In Your Mind,1976-02-01,Columbia Nashville,0.475,0.244,4,-13.532,0.0322,0.526,9.17e-06,0.0908,68.608,3
Amrzxc,fiftygame,Dance of Maria,0f7iz1qAWSz61BdHTXbzvC,Elias Rahbani,167293,41,False,Mosaic of the Orient,1992-01-01,Voix de l'Orient,0.511,0.515,10,-11.502,0.0323,0.00829,0.599,0.247,99.793,4
Amrzxc,fiftygame,Ebda' Men Gedid,1e1N69iRCE8amCLcg919M4,Al Massrieen,228000,18,False,Modern Music (Habibi Funk 006),2017-04-28,HABIBI Funk Records,0.7,0.761,2,-7.342,0.0474,0.344,0,0.102,91.222,4
Amrzxc,fiftygame,Bahebek La,3eMFvRNo8XAX6RpNmeaVR4,Al Massrieen,170000,15,False,Modern Music (Habibi Funk 006),2017-04-28,HABIBI Funk Records,0.636,0.641,2,-9.942,0.0573,0.00222,1.76e-05,0.0841,105.099,4
Amrzxc,fiftygame,Longa 79,0toK7sDp952XXK5iqmZENF,Al Massrieen,211500,27,False,Modern Music (Habibi Funk 006),2017-04-28,HABIBI Funk Records,0.571,0.904,4,-5.322,0.0772,0.356,0.568,0.361,152.933,4
Amrzxc,fiftygame,El Bahr Azra,59EeGCSYCV8HjxBkAkC7Pz,Al Massrieen,358000,29,False,Modern Music (Habibi Funk 006),2017-04-28,HABIBI Funk Records,0.582,0.664,11,-6.766,0.0302,0.245,0.000142,0.292,102.031,4
